Title,Latitude,Longitude,Address,Category,Status,Completion Date,Storeys,Height in ft
276 Finch East,43.78436427,-79.3952193,"276 Finch Avenue East, Toronto",Townhouse,Pre-Construction,0,3,0
Davisville Jr. Public School Redevelopment,43.69929,-79.3952438,"43 Millwood Road, Toronto","Institutional, Public Space",Pre-Construction,0,3,0
101 Erskine Condos,43.71160555,-79.3953447,"101 Erskine, Toronto",Condo,Under Construction,"Spring, 2018",32,348
22 Balliol Residences,43.6978382,-79.3953625,"22 Balliol Street, Toronto","Rental, Retail",Pre-Construction,0,38,412
66 Broadway Avenue,43.71041648,-79.39542551,"66 Broadway Avenue, Toronto","Rental, Townhouse",Pre-Construction,0,22,0
55 Broadway Avenue,43.70969825,-79.39547819,"55 Broadway Avenue, Toronto","Condo, Rental",Pre-Construction,0,39,0
Theory Condos,43.65866957,-79.39555243,"203 College Street, Toronto","Condo, Office, Retail",Under Construction,2020,30,0
MuseumHouse,43.6685357,-79.3957011,"206 Bloor West, Toronto","Condo, Retail",Complete,2012,19,233
89 Roehampton Avenue,43.7083633,-79.39588296,"89 Roehampton Avenue, Toronto",Rental,Pre-Construction,0,38,0
210 Bloor West,43.6684764,-79.3959716,"210 Bloor Street West, Toronto","Condo, Retail",Pre-Construction,0,29,0
90 Eglinton East,43.7073671,-79.3960657,"90 Eglinton Avenue East, Toronto","Office, Public Space, Residential, Retail",Pre-Construction,0,55,630
73-79 Keewatin Avenue,43.7123375,-79.39609522,"88 Erskine Avenue, Toronto",Rental,Complete,2017,8,0
50 Broadway (55 Erskine Avenue),43.71025214,-79.39626438,"50 Broadway, Toronto","Rental, Residential",Pre-Construction,0,12,125
379-391 Adelaide West & 96 Spadina,43.646498,-79.396268,"379 Adelaide St W, Toronto","Office, Retail",Pre-Construction,0,16,0
Victory Condos,43.6455571,-79.3963398,"478 King St West , Toronto",Condo,Complete,2011,12,0
183 Avenue Road,43.6751946,-79.3966544,"183 Avenue Road, Toronto","Condo, Retail",Pre-Construction,0,11,149
1951 Yonge ,43.699221,-79.396706,"1951 Yonge Street, Toronto ","Residential, Retail",Pre-Construction,0,34,0
Parade at Concord CityPlace,43.640523,-79.396777,"15 Iceboat Terrace, Toronto","Condo, Retail",Complete,2013,44,418
170 Spadina,43.64914914,-79.396821,"170 Spadina Avenue , Toronto","Condo, Retail",Pre-Construction,0,12,154
Pears on the Avenue,43.6752044,-79.3969776,"164 Avenue Road, Toronto","Condo, Retail",Complete,2014,20,0
E2 at E Place,43.7080765,-79.39713739,"41 Roehampton Avenue, Toronto","Condo, Public Space",Pre-Construction,0,46,512
KING Toronto,43.6448762,-79.3972056,"489 King St W, Toronto","Office, Public Space, Residential, Retail",Pre-Construction,0,16,189
KING Toronto,43.6448762,-79.3972056,"489 King St W, Toronto","Office, Public Space, Residential, Retail",Pre-Construction,0,16,189
King West Life Condominiums,43.6448762,-79.3972056,"65, 75, 85 East Liberty St, Toronto",Condo,Complete,2013,24,0
450 Richmond West,43.647852,-79.397249,"450 Richmond Street West, Toronto","Condo, Retail",Pre-Construction,0,19,0
32 Camden,43.6472973,-79.3972875,"32 Camden St, Toronto",Condo,Complete,2013,12,0
"Woodsworth, The",43.647843,-79.3972978,"452 Richmond St W, Toronto","Condo, Retail",Pre-Construction,0,17,191
Worklofts + Flatiron Lofts in the Film District,43.647843,-79.3972978,"Dundas Street East at Carlaw Avenue, Toronto","Condo, Retail",Complete,2012,10,0
1984 Yonge Street ,43.7000503,-79.3973483,"1984 Yonge Street, Toronto","Condo, Office, Retail",Pre-Construction,0,9,0
457 Richmond Street West,43.64762075,-79.397493,"457 Richmond Street West, Toronto","Condo, Residential, Retail",Pre-Construction,0,19,0
Art Shoppe Condos,43.7036615,-79.39760175,"2131 Yonge St, Toronto","Condo, Retail",Under Construction,2019,28,0
2100 Yonge,43.702622,-79.397639,"2100 Yonge Street, Toronto","Condo, Rental, Retail",Pre-Construction,0,11,132
Design Haus,43.65826586,-79.39764457,"231 College St, Toronto","Condo, Rental, Retail",Under Construction,0,19,0
Billy Bishop Toronto City Airport Pedestrian Tunnel,43.6338727,-79.3977243,"Bathurst Street Terminal, Toronto",Institutional,Under Construction,2014,0,0
401-415 King West Condos,43.6449126,-79.3977442,"401-415 King Street West, Toronto","Condo, Retail",Pre-Construction,0,44,476
485 King Street West,43.6449126,-79.3977442,"485 King St W, Toronto","Office, Retail",Pre-Construction,0,3,0
663 King West,43.6449126,-79.3977442,"663 King St W, Toronto","Residential, Retail",Pre-Construction,0,19,0
Fashion House,43.6449126,-79.3977442,"560 King St W, Toronto","Condo, Retail",Complete,2014,12,0
"Hudson Condos, The",43.6449126,-79.3977442,"438 King Street West, Toronto ",Condo,Complete,2008,21,226
M5V Condominiums,43.6449126,-79.3977442,"375 King Street West, Toronto",Condo,Complete,0,35,0
SIX50 King West,43.6449126,-79.3977442,"650 King St W, Toronto",Condo,Complete,2013,10,0
"Brant Park, The",43.64638733,-79.397803,"438 Adelaide St West , Toronto","Condo, Retail",Under Construction,0,11,116
U of T: Academic Wood Tower,43.6667191,-79.3978516,"110 Devonshire Pl., Toronto",Institutional,Pre-Construction,0,14,264
Eglinton Salvation Army,43.70671514,-79.39797443,"7 Eglinton Avenue East, Toronto",Institutional,Pre-Construction,0,4,79
Quartz at Concord CityPlace,43.63849825,-79.39799287,"75 Queens Wharf Road, Toronto",Condo,Complete,0,41,0
2221 Yonge Condos,43.7061395,-79.3979962,"2221 Yonge St, Toronto","Condo, Retail",Under Construction,0,58,0
Dragon Condos,43.652325,-79.39806,"270 Spadina Avenue, Toronto",Condo,Pre-Construction,0,10,123
"Davies, The",43.67885964,-79.3980755,"281 Avenue Road, Toronto",Condo,Under Construction,0,9,0
474 Wellington Street West ,43.643413,-79.398102,"474 Wellington Street, Toronto","Office, Retail",Pre-Construction,0,14,0
One Bedford,43.6686081,-79.398161,"1 Bedford, Toronto",Condo,Complete,2011,32,0
51 Camden Street,43.64681,-79.398199,"51 Camden Street, Toronto",Hotel,Under Construction,0,13,0
E Condos,43.706852,-79.398212,"8 Eglinton Av E, Toronto","Condo, Rental, Retail",Under Construction,2017,58,642
Crosstown LRT: Eglinton Station,43.7067479,-79.3983271,"Yonge and Eglinton, Toronto","Public Space, Transit",Under Construction,2021,1,0
544 King West,43.64525745,-79.39836995,"544 King St. West, Toronto","Condo, Office, Retail",Pre-Construction,0,12,170
485 Wellington Street West,43.64317,-79.398377,"485 Wellington Street West, Toronto","Residential, Retail",Pre-Construction,0,14,167
U of T: Goldring Centre for High Performance Sport,43.66697685,-79.39838507,"100 Devonshire Pl, Toronto",Institutional,Under Construction,2014,6,0
TCHC Block 32 Development,43.6393894,-79.3984308,"Dan Leckie Way and Fort York Blvd, Toronto",Rental,Complete,2013,41,0
Forward Condos at Concord CityPlace,43.6381349,-79.3984515,"Housey St, Toronto",Condo,Under Construction,2018,30,310
SQ Spadina Queen Condos at Alexandra Park,43.650665,-79.398454,"20 Cameron St., Toronto",Condo,Under Construction,2017,14,0
Minto30Roe Condos,43.708105,-79.398479,"30 Roehampton Avenue, Toronto",Condo,Complete,2015,34,0
SQ2 at Alexandra Park,43.6486883,-79.3985309,"Vanauley Square, Toronto",Condo,Under Construction,0,14,167
CityPlace Puente de Luz Bridge,43.6416505,-79.3985594,"524 Front Street West, Toronto",Public Space,Complete,"Fall, 2011",0,0
23 Lascelles Blvd,43.6956196,-79.3986161,"23 Lascelles Boulevard, Toronto",Townhouse,Pre-Construction,0,3,0
U of T: Robarts Library Renovations & Robarts Common,43.663868,-79.398618,"St. George St. & Harbord St., Toronto",Institutional,Pre-Construction,0,0,0
CampusOne Student Residence (was University Place),43.6580805,-79.39862107,"245 College St, Toronto",Rental,Under Construction,0,25,0
Canary Block Condos ,43.6580805,-79.39862107,"460 Front Street, Toronto","Condo, Retail",Under Construction,0,12,138
488 Wellington Street West,43.6433038,-79.3986502,"488 Wellington Street West, Toronto","Office, Retail",Pre-Construction,0,16,238
18-30 Erskine Avenue,43.7112894,-79.39869768,"18-30 Erskine Avenue, Toronto",Rental,Under Construction,0,35,0
545 Lake Shore West,43.636441,-79.39875608,"545 Lake Shore Blvd W, Toronto","Office, Residential, Retail",Pre-Construction,0,39,0
500 Wellington West,43.64325596,-79.39886278,"500 Wellington St W, Toronto",Condo,Complete,2012,10,0
277 Davenport,43.6742463,-79.39886585,"277 Davenport Road, Toronto",Condo,Complete,"Late, 2016",6,76
Allure Condos,43.7004987,-79.3989259,"Glebe Road West , Toronto","Condo, Retail",Under Construction,2014,10,0
7 Heath Street East,43.6893364,-79.3989291,"7 Heath Street, Toronto","Condo, Rental",Pre-Construction,0,13,0
7 Labatt,43.6893364,-79.3989291,"7 Labatt St, Toronto","Condo, Residential, Retail",Pre-Construction,0,38,413
504 Wellington Street West,43.6432366,-79.3989554,"504 Wellington Street West, Toronto","Office, Retail",Pre-Construction,0,15,226
Spectra at Concord CityPlace,43.6389452,-79.3989591,"85 Queens Wharf Road, Toronto","Condo, Retail",Complete,0,39,0
31 - 37 Helendale Avenue,43.708962,-79.398998,"31 Helendale Avenue, Toronto",Condo,Pre-Construction,0,24,236
Downtown Condos at Wellington West,43.64321724,-79.39904801,"508 Wellington Street West, Toronto",Condo,Complete,2014,11,120
445 Adelaide West,43.645931,-79.399074,"445 Adelaide St W, Toronto","Office, Retail",Pre-Construction,0,11,132
Panorama at Concord CityPlace,43.63675521,-79.39908651,"500 Lake Shore Blvd W, Toronto",Condo,Complete,"April, 2010",28,315
"West Block Est. 1928, The LakeShore, and The LakeFront",43.63675521,-79.39908651,"500 Lake Shore Blvd. W., Toronto","Condo, Office, Retail",Under Construction,"Spring, 2019",41,429
580 King West,43.64480802,-79.39922725,"578 King St W, Toronto","Office, Retail",Pre-Construction,0,11,0
5840 Yonge Street,43.64480802,-79.39922725,"5840-5870 Yonge Street, Toronto","Condo, Public Space, Retail",Pre-Construction,0,32,0
Waterworks Building Redevelopment,43.647269,-79.39923,"505 Richmond Street West , Toronto","Condo, Institutional, Retail",Under Construction,0,13,0
66 Portland Condo,43.6424493,-79.3992394,"66 Portland St, Toronto",Condo,Complete,2006,9,0
King Adelaide Centre,43.64478133,-79.39935672,"582 King St W, Toronto","Office, Retail",Pre-Construction,0,12,0
Yonge Eglinton Centre,43.707356,-79.39938202,"2300 Yonge St, Toronto","Office, Retail",Under Construction,0,27,0
Montgomery Square,43.7092281,-79.39941128,"2384 Yonge St, Toronto","Rental, Retail",Under Construction,0,27,276
2444 Yonge Street ,43.7107432,-79.399423,"2444 Yonge Street, Toronto","Residential, Retail",Pre-Construction,0,27,266
245 Queen Street East,43.7107432,-79.399423,"245-285 Queen Street East, Toronto","Condo, Office, Public Space, Rental, Retail",Pre-Construction,0,37,420
Berwick and CityTowns at The Berwick,43.7043217,-79.3994374,"60 Berwick Avenue, Toronto","Condo, Public Space, Rental, Townhouse",Under Construction,2014,17,0
Beyond The Sea,43.7043217,-79.3994374,"Lake Shore Blvd W at Legion Rd, Toronto","Condo, Retail",Complete,2011,26,0
Seventy5 Portland,43.6439014,-79.3994795,"75 Portland St, Toronto",Condo,Complete,2010,11,0
Fashion District Lofts,43.645856,-79.399481,"455 Adelaide St W, Toronto",Condo,Complete,2009,10,0
Mouth of the Creek Park,43.639157,-79.3996475,"Bathurst St & Fort York Blvd, Toronto",Public Space,Pre-Construction,0,0,0
AYC Condos,43.6751687,-79.39985952,"181 Bedford Road, Toronto","Condo, Public Space, Rental, Residential, Townhouse",Under Construction,0,27,302
Amica at The Balmoral Club,43.68437893,-79.3998688,"145 Balmoral Avenue, Toronto",Rental,Pre-Construction,0,15,0
464 Queen Street West,43.6481235,-79.399884,"464 Queen Street West, Toronto","Office, Retail",Pre-Construction,0,4,0
49-51 Lawrence Ave. East,43.7254551,-79.3998911,"49 Lawrence Ave. East, Toronto","Condo, Townhouse",Pre-Construction,0,4,0
Blue Diamond Condos and Foxbar Towns at Imperial Village,43.68644375,-79.40014451,"129 St Clair Ave W, Toronto","Condo, Townhouse",Under Construction,2018,28,0
64 Prince Arthur,43.668853,-79.400178,"64 Prince Arthur Avenue, Toronto",Condo,Pre-Construction,0,29,0
Rêve,43.6415231,-79.40027809,"560 Front Street West, Toronto",Condo,Complete,"Fall, 2011",14,0
306-326 Davenport,43.67465397,-79.40037995,"314 Davenport Rd, Toronto","Office, Residential, Retail",Pre-Construction,0,27,316
"Waverley, The",43.658169,-79.40041733,"484 Spadina Ave, Toronto","Rental, Retail",Under Construction,0,15,0
LTD Condos,43.6373046,-79.4004642,"15 Bruyeres Mews, Toronto",Condo,Complete,2011,15,0
"Yards at Fort York, The",43.6373046,-79.4004642,"20 Bruyeres Mews, Toronto",Condo,Under Construction,2015,28,0
50-60 Eglinton West,43.706397,-79.400479,"50 Eglinton Avenue West, Toronto","Condo, Retail",Pre-Construction,0,36,0
June Callwood Park,43.6369769,-79.4006017,"Bastion St & Sloping Sky Mews, Toronto",Public Space,Under Construction,2014,0,0
20 Stewart Condos,43.64362804,-79.40068981,"20 Stewart St, Toronto",Condo,Complete,2008,9,0
King Portland Centre and Kingly Condos,43.6444147,-79.400691,"620 King St W, Toronto","Condo, Office, Retail",Under Construction,"Summer, 2019",13,189
King Portland Centre and Kingly Condos,43.6444147,-79.400691,"620 King St W, Toronto","Condo, Office, Retail",Under Construction,"Summer, 2019",13,189
King Portland Centre and Kingly Condos,43.6444147,-79.400691,"620 King St W, Toronto","Condo, Office, Retail",Under Construction,"Summer, 2019",13,189
"U of T: John H. Daniels Faculty of Architecture, Landscape, and Design",43.6596621,-79.40072326,"1 Spadina Cr, Toronto","Institutional, Public Space",Complete,"Fall, 2017",3,0
Alaska (DEAD),43.71843,-79.400738,"2779 Yonge Street, Toronto",Condo,On-Hold,0,10,0
Alaska (DEAD),43.71843,-79.400738,"2779 Yonge Street, Toronto",Condo,On-Hold,0,10,0
The Winslow,43.71843,-79.400738,"2779 Yonge Street, Toronto","Condo, Rental",Pre-Construction,0,9,0
135 Portland Street,43.646445,-79.40077843,"135 Portland Street, Toronto",Condo,Pre-Construction,0,16,0
Neon Condos,43.708051,-79.4008154,"58 Orchard View Boulevard, Toronto",Condo,Complete,0,20,164
"Garrison at The Yards, The ",43.6384374,-79.40095671,"169 Fort York Blvd, Toronto",Condo,Complete,2013,12,0
321 Davenport,43.67464719,-79.400973,"321 Davenport Road, Toronto",Condo,Pre-Construction,0,8,0
2851 Yonge Street,43.72015148,-79.4010339,"2851 Yonge Street, Toronto",Condo,Pre-Construction,0,7,0
115 Dupont,43.67600248,-79.40127094,"115 Dupont St, Toronto",Office,Pre-Construction,0,5,0
90 Eglinton Avenue West,43.706215,-79.401323,"90 Eglinton Ave W, Toronto","Condo, Office, Retail",Pre-Construction,0,24,302
121 Avenue Road,43.6865114,-79.4014155,"121 Avenue Rd., Toronto","Residential, Retail",Pre-Construction,0,8,0
Avenue 151,43.6865114,-79.4014155,"151 Avenue Rd, Toronto","Condo, Retail",Under Construction,0,10,0
"Yorkville Plaza, The New Residences of",43.6865114,-79.4014155,"21 Avenue Rd, Toronto",Condo,Under Construction,2014,31,0
Quay West at Tip Top,43.6350565,-79.4014216,"90 Stadium Rd, Toronto",Condo,Complete,2011,23,0
145 Sheppard East,43.7634741,-79.4014236,"145 Sheppard Avenue East, Toronto",Condo,Pre-Construction,0,11,139
346 Davenport,43.67525759,-79.40145409,"346 Davenport Road, Toronto",Condo,Pre-Construction,0,9,119
"College Condominium, The",43.65760993,-79.40153079,"297 College Street, Toronto","Condo, Retail",Under Construction,0,15,0
2908 Yonge,43.7217805,-79.4017349,"2908 Yonge Street, Toronto","Condo, Retail",Pre-Construction,0,13,157
543 Richmond Residences at Portland,43.646754,-79.401739,"553 Richmond Street West, Toronto",Condo,Pre-Construction,0,15,163
Queen & Portland Loft & Condominium Residences,43.64755533,-79.40174,"589 Queen St W, Toronto","Condo, Retail",Complete,2011,9,0
550 Wellington West and Thompson Hotel,43.642841,-79.4017969,"550 Wellington St W, Toronto","Condo, Hotel",Complete,2010,15,0
41 Chatsworth,43.7218215,-79.4018042,"41 Chatsworth Drive, Toronto",Condo,Pre-Construction,0,4,0
"Avenue, The",43.68629765,-79.40183984,"155 St Clair Ave West, Toronto",Condo,Complete,2011,19,0
629 King Residences (was Thompson Residences),43.6439108,-79.4018859,"629 King St W, Toronto",Condo,Complete,2017,15,175
300 Bloor West,43.66740135,-79.40192079,"300 Bloor Street West, Toronto","Condo, Institutional, Office, Retail, Townhouse",Pre-Construction,0,28,316
Concord Canada House,43.663015,-79.401959,"23 Spadina Av, Toronto","Condo, Office, Retail",Under Construction,0,69,0
YC Condos -- Yonge at College,43.73875688,-79.40209854,"460 Yonge Street, Toronto","Condo, Office, Retail",Under Construction,2019,62,651
Halo Residences on Yonge,43.73875568,-79.40210027,"484 Yonge Street, Toronto","Condo, Rental, Retail",Under Construction,2020,38,0
Local at Fort York,43.63769415,-79.40212595,"50 Bruyeres Mews, Toronto",Condo,Under Construction,0,15,172
Loft 45 Condos,43.63769415,-79.40212595,"Connaught and Queen St E, Toronto",Condo,Pre-Construction,2014,4,0
Uovo Boutique Residences,43.73867421,-79.40221771,"2112 Yonge Street, Toronto","Condo, Retail",Pre-Construction,0,11,124
Upper Beach Club Condominiums,43.73867421,-79.40221771,"1390-1400 Kingston Road, Toronto",Condo,Pre-Construction,0,7,0
Whitehaus Condominiums,43.7386614,-79.40223617,"2368 Yonge Street, Toronto",Condo,Under Construction,2019,29,328
2500 Yonge,43.73865479,-79.40224569,"2500 Yonge Street, Toronto","Condo, Institutional, Retail",Pre-Construction,0,21,260
Fortune at Fort York,43.6365496,-79.4023142,"65 Grand Magazine St, Toronto",Condo,Pre-Construction,0,24,259
64-86 Bathurst,43.642731,-79.402341,"64-86 Bathurst Street, Toronto","Office, Rental, Retail",Pre-Construction,0,20,0
609 Avenue Road,43.69002176,-79.40239507,"609 Avenue Road, Toronto",Condo,Under Construction,2019,19,0
3018 Yonge,43.724281,-79.40248448,"3018 Yonge St, Toronto","Condo, Retail",Complete,2015,12,0
180 Sheppard Avenue East,43.763578,-79.402596,"180 Sheppard Avenue East, Toronto","Office, Rental, Retail",Pre-Construction,0,6,0
333 College Street,43.65730813,-79.40259973,"333 College Street, Toronto","Condo, Retail",Pre-Construction,0,11,128
Core Condos,43.6439095,-79.4026719,"Shuter and Dalhousie , Toronto",Condo,Complete,2017,24,0
Corktown Common,43.6439095,-79.4026719,"West Don Lands, Toronto",Public Space,Complete,"Spring, 2014",0,0
Estonian Cultural Centre,43.66734971,-79.40273729,"9 Madison Avenue, Toronto",Institutional,Pre-Construction,0,3,0
316 Bloor West,43.666949,-79.402904,"316 Bloor St W, Toronto","Condo, Retail",Pre-Construction,0,29,0
U of T: University of Toronto Schools,43.666534,-79.402926,"371 Bloor St W, Toronto",Institutional,Pre-Construction,0,3,67
Harlowe Condos,43.64671433,-79.40293767,"610 Richmond St W, Toronto","Condo, Retail",Pre-Construction,0,14,0
Musée Condos,43.645129,-79.403026,"525 Adelaide St W, Toronto","Condo, Rental",Under Construction,"Mid, 2016",17,177
666 Spadina Avenue,43.6639918,-79.40303105,"666 Spadina Avenue, Toronto","Residential, Townhouse",Pre-Construction,0,11,0
U of T: Spadina and Sussex Mixed Use Residence,43.66472,-79.40306,"698-704 Spadina Ave., Toronto","Office, Residential, Retail, Townhouse",Pre-Construction,0,23,249
620 Avenue Road,43.68979246,-79.40314189,"620 Avenue Road, Toronto","Rental, Residential",Pre-Construction,0,20,0
"AvenDale, The",43.68979246,-79.40314189,"620 Avenue Rd., Toronto",Condo,Pre-Construction,0,19,0
West Condos,43.64151633,-79.40338067,"89 - 109 Niagara , Toronto","Condo, Retail",Pre-Construction,0,14,171
West Harbour City ,43.64151633,-79.40338067,"Fleet St at Bastion St, Toronto",Condo,Complete,2011,36,0
149 Bathurst Street,43.6460954,-79.4034692,"149 Bathurst Street, Toronto","Rental, Retail",Pre-Construction,0,16,171
College Park Revitalization with Barbara Ann Scott Skate Trail,43.73099773,-79.40391566,"420 Yonge Street, Toronto",Public Space,Under Construction,"Fall, 2017",0,0
College Park Revitalization with Barbara Ann Scott Skate Trail,43.73099773,-79.40391566,"420 Yonge Street, Toronto",Public Space,Under Construction,"Fall, 2017",0,0
90 Niagara,43.64158939,-79.40395367,"90 Niagara Street, Toronto",Condo,Under Construction,0,5,0
oneeleven Condominiums,43.6472773,-79.4040095,"111 Bathurst St, Toronto","Condo, Office, Retail",Under Construction,"Spring, 2016",17,182
OnePark West,43.6472773,-79.4040095,"Sackville Street at Cole Street, Toronto",Condo,Complete,2011,13,0
Origami Lofts Condos,43.64787936,-79.40441438,"202 Bathurst Street, Toronto","Condo, Retail",Under Construction,0,7,74
Origin Condominiums,43.64787936,-79.40441438,"Derry Road and Sauve Street, Milton",Residential,Under Construction,0,5,0
3440 Yonge,43.7336705,-79.4045678,"3440 Yonge Street, Toronto","Office, Rental",Pre-Construction,0,5,61
ZIGG Condos,43.685906,-79.404601,"223 St. Clair Ave West, Toronto",Condo,Under Construction,"December, 2017",11,0
Neptune + Neptune 2 Condominiums,43.63635565,-79.40481072,"215 Fort York Blvd, Toronto",Condo,Complete,2011,38,394
Nero Condo,43.63635565,-79.40481072,"856 Dundas West, Toronto",Condo,Complete,0,7,83
Newton at Concord CityPlace,43.63635565,-79.40481072,"Bathurst St & Housey St, Toronto","Condo, Retail",Under Construction,2017,18,0
2 Tecumseth,43.64075845,-79.4048687,"2 Tecumseth St, Toronto","Office, Public Space, Residential, Retail",Pre-Construction,0,38,464
Wigwamen Terrace Expansion,43.66766925,-79.40498775,"14 Spadina Road, Toronto","Rental, Residential",Pre-Construction,0,6,67
Waterparkcity Condominiums,43.6367509,-79.4055001,"219 Fort York Blvd, Toronto",Condo,Complete,0,38,0
Minto775 King West,43.6431271,-79.40550532,"775 King St W, Toronto","Condo, Retail",Complete,2013,17,0
Madison View,43.6762193,-79.4064833,"200 Madison Avenue, Toronto","Rental, Residential",Pre-Construction,0,6,74
South Hill on Madison,43.67718167,-79.40661733,"377 Madison Avenue, Toronto","Condo, Townhouse",Under Construction,2016,7,0
The Bentway (was Under Gardiner),43.636599,-79.4067522,"Fort York Blvd., Toronto",Public Space,Under Construction,"Summer, 2017",0,0
Yonge Park Plaza,43.7442567,-79.40693,"4050 Yonge St., Toronto","Hotel, Office, Retail",Pre-Construction,2018,7,0
Bathurst College Centre,43.65445778,-79.4070808,"420 Bathurst Street, Toronto",Office,Under Construction,0,4,0
4155 Yonge,43.7471836,-79.4072265,"4155 Yonge Street, Toronto",Condo,Pre-Construction,0,14,0
Savvy Condos,43.75953525,-79.40837455,"34 Glendora Avenue, Toronto",Condo,Complete,2012,22,0
Fort York Visitor Centre,43.6372773,-79.4087542,"100 Garrison Rd, Toronto","Institutional, Public Space",Complete,2014,2,0
346 Eglinton Avenue West,43.7046651,-79.4088037,"346 Eglinton Avenue W, Toronto","Condo, Retail",Pre-Construction,0,10,0
Flo Condominiums,43.758673,-79.4088098,"9 Bales Avenue, Toronto",Condo,Complete,2015,11,0
45 Strachan,43.6346871,-79.40898,"45 Strachan Avenue, Toronto","Rental, Retail",Under Construction,0,39,433
Garrison Crossing (was Fort York Pedestrian and Cycle Bridge),43.6389591,-79.4091363,"10 Ordnance St., Toronto",Public Space,Under Construction,2018,0,0
328 Dupont,43.67441182,-79.40928067,"328 Dupont Street, Toronto","Condo, Office, Retail",Pre-Construction,0,13,151
Novus at Garrison Point,43.6389084,-79.409368,"11 Ordnance Street, Toronto","Rental, Retail",Under Construction,0,34,391
BMO Field Renovations,43.6347851,-79.4094597,"170 Princes' Blvd, Toronto",Public Space,Under Construction,0,0,0
"Code Condos, The",43.685225,-79.40982353,"6 Parkwood Ave, Toronto","Condo, Townhouse",Under Construction,0,9,100
Hullmark Centre,43.7612636,-79.4102202,"5 Sheppard Ave E, North York","Co-op, Office, Retail",Complete,0,45,0
Living Life on the Avenue,43.7057055,-79.41023546,"1066 Avenue Road, Toronto",Rental,Complete,2011,8,0
Parc - Loft Residences on King West,43.6418853,-79.41043353,"25 Stafford St, Toronto",Condo,Complete,2011,10,0
Garrison Point,43.6393672,-79.4106418,"30 Ordnance St, Toronto","Condo, Public Space",Under Construction,0,35,389
Churchill Park Condos,43.683356,-79.410705,"330 Spadina Road, Toronto",Condo,Complete,2011,14,0
B.streets Condos,43.66452259,-79.4107852,"783 Bathurst St., Toronto","Condo, Retail",Complete,2014,9,0
Yonge Sheppard Centre Renovations and Expansion,43.7614518,-79.4109148,"Yonge and Sheppard, Toronto","Condo, Office, Rental, Retail",Under Construction,0,35,0
York Community Centre,43.7614518,-79.4109148,"Eglinton Av W @ Black Creek Dr, Toronto","Institutional, Public Space",Pre-Construction,2016,0,0
York University: School of Continuing Studies,43.7614518,-79.4109148,"The Pond Road and James Gillies Street, Toronto","Institutional, Office",Pre-Construction,0,5,96
822-838 Richmond Street West,43.64475,-79.4110723,"822-838 Richmond Street West, Toronto",Office,Pre-Construction,0,5,0
Trinity-Bellwoods Towns+Homes,43.6517379,-79.4112743,"250 Manning Avenue, Toronto",Townhouse,Complete,2012,3,0
39 East Liberty,43.6390937,-79.411321,"39 East Liberty Street, Toronto","Rental, Retail",Pre-Construction,0,25,276
4800 Yonge Street,43.76096495,-79.41141449,"4800 Yonge Street, Toronto","Condo, Office, Retail",Pre-Construction,0,49,0
4804-4812 Yonge Street,43.76096495,-79.41141449,"4804-4812 Yonge Street, Toronto",Retail,Complete,2012,1,0
950 King West,43.6422106,-79.4117685,"950 King St. W, Toronto","Condo, Rental, Retail",Pre-Construction,0,16,192
35 Holmes,43.77826653,-79.4120814,"35 Holmes Avenue, Toronto",Condo,Pre-Construction,0,18,199
Ava Luxury Residence,43.7806339,-79.4121835,"50 Finch Avenue East, Toronto","Condo, Retail",Pre-Construction,0,10,0
860 Richmond Street West,43.6445382,-79.4122451,"860 Richmond Street West, Toronto",Office,Pre-Construction,0,5,0
Liberty Central by the Lake,43.6385057,-79.412326,"51 East Liberty St, Toronto",Condo,Under Construction,0,25,0
200 Russell Hill,43.6970367,-79.412812,"200 Russell Hill Road, Toronto",Condo,Pre-Construction,0,5,0
250 Lawrence West,43.7226386,-79.4133376,"250 Lawrence Ave W, Toronto",Condo,Pre-Construction,0,9,0
Kenneth & Holmes,43.7781188,-79.4134575,"40-42 Holmes Avenue, Toronto",Townhouse,Under Construction,"February, 2019",3,0
Ellie Condos,43.7710054,-79.4134955,"5220 Yonge Street, Toronto","Condo, Office, Rental, Retail",Pre-Construction,0,31,0
"Heathview, The",43.68474117,-79.41375062,"310 & 320 Tweedsmuir, Toronto",Rental,Complete,2014,30,357
53-63 Sheppard West,43.7607502,-79.4137626,"53-63 Sheppard Avenue West, Toronto","Residential, Townhouse",Pre-Construction,0,14,0
Beacon Condos,43.77055,-79.41380998,"5200 Yonge Street, Toronto","Condo, Retail",Under Construction,2018,35,409
5300 Yonge Street,43.77255818,-79.4138952,"5300 Yonge Street, North York",Condo,Pre-Construction,0,33,0
ZEN King West,43.6400154,-79.4140769,"19 Western Battery Road, Toronto","Condo, Retail",Under Construction,"April, 2020",28,0
Azura Condos,43.7779385,-79.4144056,"15 Holmes Avenue, Toronto","Condo, Townhouse",Pre-Construction,0,32,355
5400 Yonge,43.7749807,-79.4145148,"5400 Yonge Street, North York","Office, Public Space, Residential, Retail",Pre-Construction,0,32,348
Dia Condos,43.773393,-79.41528,"30 Canterbury Pl, Toronto",Condo,Complete,2007,17,0
"Diamond Condominiums on Yonge, The",43.7745389,-79.4154125,"75 Canterbury Pl, North York",Condo,Under Construction,0,30,323
Celsius Condo,43.7743822,-79.4156374,"31 Horsham Ave, North York",Condo,Under Construction,2014,18,0
